大專,第一名,祈,江翊民,大甲鎮瀾宮主殿。描繪信眾們以鮮花素果及紙錢，祈求平安之景。
大專,第二名,媽祖起駕,楊天助,大甲媽祖依照傳統儀式起駕開鑼。起駕前，鐘、鼓、哨角齊鳴，在眾人的歡呼聲中，恭請「媽祖起駕」遶境出巡。信眾祈求媽祖賜福平安、驅逐邪煞、安定人心、庇佑眾生的信仰象徵。
大專,第三名,光的信仰,呂宗憲,光是神奇的東西，在不同時間不同地點會有不同的顏色，其中在黃昏時刻的光格外迷人，當鎮瀾宮被微光籠罩時，我已經成為光的信徒了。
大專,優選,聚心,吳博融,這幅畫我用了很多抽象筆觸，希望能表現當下狀態，凝聚大家虔誠的心，以祈求國泰民安風調雨順。
大專,優選,信靠的家,郭俊佑,媽祖是心靈的依靠，任何人都可去尋求安慰，累了到媽祖的家坐一下，抱著嬰孩的媽媽也委託媽祖慈悲的照顧。媽祖永遠在需要的人身邊，不遺棄任何人，牌匾上寫的「大德敦化」正是媽祖的精神，此地點為月港護庇宮
大專,優選,祁福,李志勇,媽媽的心願，就希望一家大小都平安，北港朝天宮。
大專,優選,媽祖神降,王若齊,媽祖的光，指引著我，邁向更美好的人生、更美好的未來。表現地點：大甲鎮瀾宮。
大專,優選,鑼鼓連天耀媽祖,蔡意宗,在鑼鼓聲中，歡慶媽祖的景象，記憶猶新，也沉浸媽祖帶來的平安，使得社會豐衣足食、和諧美好。（大甲媽祖）
大專,佳作,薪傳,林贊溢,母親帶著兒女到鎮瀾宮廟裡祈福求平安。
大專,佳作,神人同親,劉家宏,遊訪在地名勝古蹟，有「臺中嬤」美稱的「萬春宮」，三百年古寺簇擁在都市叢林，恰巧遇逢紅日，宮廳內香煙裊裊、香客來往甚是熱鬧。焚香禮拜，謝天、謝地、謝眾生！短暫的冥想，停留在過去、現在、未來，「神人同親」。
大專,佳作,鎮海安瀾,劉德龍,50年來第一次到鼎鼎有名的「鎮瀾宮」果然氣勢和氛圍與眾不同，熱鬧虔誠的人群、畫樑雕棟的藝術氣息，還有令人肅然起敬的「媽祖」。一股衝動，在現場就了速寫和局部（樑棟）的描繪和攝影，回到畫室重新整理，外圍放鬆用寒色調，越靠近媽祖則用混和多彩的暖色調，形成明暗和色彩的強烈對比，重點放在媽祖和周圍的木雕和人群。
大專,佳作,信念,張皓為,喜歡廟宇人多的感覺，一種熱鬧又寧靜的感覺。表現地點：大甲鎮瀾宮。
大專,佳作,祈、福、夜鎮瀾,劉哲志,一直以來，媽祖是臺灣居民重要信仰之一，地位崇高、聖威顯赫。夜晚的鎮瀾宮，虔誠的民眾，將宮前廣場擠得水洩不通。
大專,佳作,?求,彭建豪,表現地點為大甲鎮瀾宮，在畫此作品前，特別南下到鎮瀾宮拍照、取景，在廟裡面能夠感受到濃厚的人民對媽祖、神明的寄託，大家心中喃喃自語著、捧著香、找個最好的位置，開始對神明祈求。
高中職,第一名,拜媽祖享平安,蔡東佑,來到鎮瀾宮，看到慈眉善目的媽祖，尤如我們的母親，在靜謐無數的祈求中傾聽我們的心聲，無怨無悔的守護、庇佑著我們，使我們得到平安。
高中職,第二名,祈,謝家容,阿嬤真誠的在鎮瀾宮祈求，期望心願能實現。
高中職,第三名,寄託,張亞蓁,大甲鎮瀾宮這莊嚴的廟宇中，人們經由祈福得到心靈的依靠與寄託，我們應該好好保存這屬於我們的文化，維護讓我們安心的避風港。
高中職,優選,鑽轎腳,黃勝威,表現民眾鑽媽祖神轎得到一年平安順利，左右兩邊千里眼順風耳護法。
